model,feature,importance
random_forest_controlled,media_portugues_municipio_2023,0.15777786999444723
random_forest_controlled,proficiencia_media_ponderada_2023,0.12628419190048237
random_forest_controlled,pct_alfabetizados_municipio_2023,0.12353896033849371
random_forest_controlled,taxa_alfabetizacao_municipio_2023,0.11546614099670732
random_forest_controlled,meta_alfabetizacao_municipio_2024,0.10973993358823646
random_forest_controlled,gap_para_meta_municipio_2024,0.08920284406472728
random_forest_controlled,idhm_educacao,0.07004193086021182
random_forest_controlled,sigla_uf,0.06277232238752237
random_forest_controlled,percentual_participacao_municipio_2023,0.0288895152083579
random_forest_controlled,idhm_longevidade,0.02867798226664493
random_forest_controlled,idhm,0.025618751074328858
random_forest_controlled,atingiu_meta_municipio_2024,0.02199419655537772
random_forest_controlled,idhm_renda,0.0206104667117365
random_forest_controlled,total_alunos_municipio_2023,0.013568301136843541
random_forest_controlled,rede,0.005520522445856142
random_forest_controlled,gold_historico_disponivel,0.0002960704700257144
