model,training_seconds,encoded_features,auc_gap,observation,parameters_constant,parameters_random_state,parameters_strategy,train_threshold,train_accuracy,train_precision,train_recall,train_f1,train_confusion_matrix,train_roc_auc,validation_threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_confusion_matrix,validation_roc_auc,parameters_C,parameters_class_weight,parameters_dual,parameters_fit_intercept,parameters_intercept_scaling,parameters_l1_ratio,parameters_max_iter,parameters_n_jobs,parameters_penalty,parameters_solver,parameters_tol,parameters_verbose,parameters_warm_start,parameters_ccp_alpha,parameters_criterion,parameters_max_depth,parameters_max_features,parameters_max_leaf_nodes,parameters_min_impurity_decrease,parameters_min_samples_leaf,parameters_min_samples_split,parameters_min_weight_fraction_leaf,parameters_monotonic_cst,parameters_splitter,parameters_bootstrap,parameters_max_samples,parameters_n_estimators,parameters_oob_score
dummy_prior,4.997457799996482,43,0.0,referência sem discriminação,,,prior,0.5,0.5956111465801375,0.5956111465801375,1.0,0.7465617771055395,"[[0, 530155], [0, 780848]]",0.5,0.5,0.6029372658451119,0.6029372658451119,1.0,0.7522905339994415,"[[0, 117959], [0, 179120]]",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_baseline,48.78015800000867,43,0.04752140349328171,baseline linear,,42.0,,0.5,0.6390931218311476,0.6596649556754334,0.8140329487941315,0.7287640261358777,"[[202217, 327938], [145212, 635636]]",0.6661068254598116,0.5,0.5947912844731537,0.6473379786396175,0.7204164805716838,0.6819249539582678,"[[47659, 70300], [50079, 129041]]",0.6185854219665299,1.0,,False,True,1.0,0.0,150.0,,deprecated,saga,0.001,0.0,False,,,,,,,,,,,,,,,
logistic_tuned_c_0_1,44.9303888999857,43,0.04793469033114717,regularização maior,,42.0,,0.5,0.6390534575435755,0.6595157998656037,0.8144722148228593,0.7288489307570652,"[[201822, 328333], [144869, 635979]]",0.6661036274853391,0.5,0.5948081150131783,0.6473187417245115,0.7205504689593568,0.6819742988185066,"[[47640, 70319], [50055, 129065]]",0.618168937154192,0.1,,False,True,1.0,0.0,150.0,,deprecated,saga,0.001,0.0,False,,,,,,,,,,,,,,,
logistic_tuned_c_0_3,45.60089960001642,43,0.04770391160580789,regularização moderada,,42.0,,0.5,0.6390786291106886,0.6596691814852064,0.8139663545273856,0.7287399166560131,"[[202250, 327905], [145264, 635584]]",0.6661050079581976,0.5,0.5947912844731537,0.6473379786396175,0.7204164805716838,0.6819249539582678,"[[47659, 70300], [50079, 129041]]",0.6184010963523897,0.3,,False,True,1.0,0.0,150.0,,deprecated,saga,0.001,0.0,False,,,,,,,,,,,,,,,
decision_tree_baseline,61.42182379998849,43,0.06029492783135215,baseline vigente,,42.0,,0.5,0.6465484823451968,0.6696680519213997,0.8023584615699855,0.7300328125582609,"[[221107, 309048], [154328, 626520]]",0.6817389619307771,0.5,0.6233089514910175,0.642941299068084,0.8439035283608753,0.7298413671730718,"[[34012, 83947], [27960, 151160]]",0.621444034099425,,,,,,,,,,,,,,0.0,gini,14.0,,,0.0,100.0,2.0,0.0,,best,,,,
decision_tree_d5_l100,10.40418100001989,43,0.031043235379368594,árvore simples,,42.0,,0.5,0.6380511715076167,0.6543072564688436,0.83174702374854,0.732433694286623,"[[187019, 343136], [131380, 649468]]",0.6617765508685722,0.5,0.6302195712251624,0.6386817763184239,0.8904533273782939,0.7438405036726128,"[[27727, 90232], [19622, 159498]]",0.6307333154892036,,,,,,,,,,,,,,0.0,gini,5.0,,,0.0,100.0,2.0,0.0,,best,,,,
decision_tree_d7_l100,17.0052405000024,43,0.03920147112888461,árvore moderada,,42.0,,0.5,0.640009214319113,0.6563018330231575,0.8305380816753068,0.7332109664403049,"[[190530, 339625], [132324, 648524]]",0.6686275265049131,0.5,0.6311115898464719,0.6390670064122308,0.8919216167932112,0.7446138644779556,"[[27729, 90230], [19359, 159761]]",0.6294260553760285,,,,,,,,,,,,,,0.0,gini,7.0,,,0.0,100.0,2.0,0.0,,best,,,,
decision_tree_d10_l100,31.938882400019793,43,0.0448793358228089,profundidade intermediária,,42.0,,0.5,0.6426331594969653,0.6585192305545094,0.8308377558756633,0.7347098710380657,"[[193736, 336419], [132090, 648758]]",0.6750953663889665,0.5,0.6289034229952303,0.6411101140354112,0.8734982134881644,0.7394763769386554,"[[30373, 87586], [22659, 156461]]",0.6302160305661576,,,,,,,,,,,,,,0.0,gini,10.0,,,0.0,100.0,2.0,0.0,,best,,,,
decision_tree_d10_l500,30.40362210001331,43,0.04420510689133572,folhas mais estáveis,,42.0,,0.5,0.6423417795382619,0.659024616529625,0.827819242669508,0.7338406862035554,"[[195711, 334444], [134447, 646401]]",0.6743075326302794,0.5,0.6310846609824323,0.6430861814185337,0.8722197409557838,0.740329004575168,"[[31250, 86709], [22888, 156232]]",0.6301024257389437,,,,,,,,,,,,,,0.0,gini,10.0,,,0.0,500.0,2.0,0.0,,best,,,,
decision_tree_d15_l500,56.172380100004375,43,0.05070071223967154,profunda com regularização,,42.0,,0.5,0.645115991344032,0.6679842360084994,0.8035814908919534,0.7295355667118552,"[[218274, 311881], [153373, 627475]]",0.6791576291215,0.5,0.6290784606114872,0.645397820519852,0.8540531487271104,0.7352078221982992,"[[33908, 84051], [26142, 152978]]",0.6284569168818285,,,,,,,,,,,,,,0.0,gini,15.0,,,0.0,500.0,2.0,0.0,,best,,,,
